stateab,pop60,pop70,pop00,pop10,,,,,,,,,,,,,
AL,3267,3444,4447207,4779736,,,,,,,,,,,,,
AK,226,302,626933,710231,,,,,,,,,,,,,
AZ,1302,1772,5130247,6392017,,,,,,,,,,,,,
AR,1786,1923,2673293,2915918,,,,,,,,,,,,,
CA,15717,19953,33871653,37253956,,,,,,,,,,,,,
CO,1754,2207,4302086,5029196,,,,,,,,,,,,,
CT,2535,3032,3405650,3574097,,,,,,,,,,,,,
DE,446,548,783559,897934,,,,,,,,,,,,,
DC,764,757,572086,601723,,,,,,,,,,,,,
FL,4952,6789,15982571,18801310,,,,,,,,,,,,,
GA,3943,4590,8186653,9687653,,,,,,,,,,,,,
HI,633,770,1211497,1360301,,,,,,,,,,,,,
ID,667,713,1293957,1567582,,,,,,,,,,,,,
IL,10081,11114,12419927,12830632,,,,,,,,,,,,,
IN,4662,5194,6080827,6483802,,,,,,,,,,,,,
IA,2758,2825,2926538,3046355,,,,,,,,,,,,,
KS,2179,2249,2688925,2853118,,,,,,,,,,,,,
KY,3038,3219,4042193,4339367,,,,,,,,,,,,,
LA,3257,3643,4469035,4533372,,,,,,,,,,,,,
ME,969,994,1274779,1328361,,,,,,,,,,,,,
MD,3101,3922,5296647,5773552,,,,,,,,,,,,,
MA,5149,5689,6349364,6547629,,,,,,,,,,,,,
MI,7823,8875,9938823,9883640,,,,,,,,,,,,,
MN,3414,3805,4919631,5303925,,,,,,,,,,,,,
MS,2178,2217,2844754,2967297,,,,,,,,,,,,,
MO,4320,4677,5596564,5988927,,,,,,,,,,,,,
MT,675,694,902200,989415,,,,,,,,,,,,,
NE,1411,1484,1711230,1826341,,,,,,,,,,,,,
NV,285,489,1998250,2700551,,,,,,,,,,,,,
NH,607,738,1235807,1316470,,,,,,,,,,,,,
NJ,6067,7168,8414764,8791894,,,,,,,,,,,,,
NM,951,1016,1819017,2059179,,,,,,,,,,,,,
NY,16782,18191,18977026,19378102,,,,,,,,,,,,,
NC,4556,5082,8046346,9535483,,,,,,,,,,,,,
ND,632,618,642237,672591,,,,,,,,,,,,,
OH,9706,10652,11353336,11536504,,,,,,,,,,,,,
OK,2328,2559,3450451,3751351,,,,,,,,,,,,,
OR,1769,2091,3421524,3831074,,,,,,,,,,,,,
PA,11319,11794,12280548,12702379,,,,,,,,,,,,,
RI,859,950,1048259,1052567,,,,,,,,,,,,,
SC,2383,2591,4012023,4625364,,,,,,,,,,,,,
SD,681,666,754858,814180,,,,,,,,,,,,,
TN,3567,3924,5689427,6346105,,,,,,,,,,,,,
TX,9580,11197,20851028,25145561,,,,,,,,,,,,,
UT,891,1059,2233183,2763885,,,,,,,,,,,,,
VT,390,445,608613,625741,,,,,,,,,,,,,
VA,3967,4648,7079057,8001024,,,,,,,,,,,,,
WA,2853,3409,5894281,6724540,,,,,,,,,,,,,
WV,1860,1744,1808193,1852994,,,,,,,,,,,,,
WI,3952,4418,5363757,5686986,,,,,,,,,,,,,
WY,330,332,493786,563626,,,,,,,,,,,,,
