1,-.0079522,.0000527
2,-.0160217,.0000951
4,-.0115726,.0000508
5,-.0140634,.000059
6,-.0116233,.0000445
8,-.0121378,.0000646
9,-.0006628,.0000527
10,.0004379,.000068
12,-.0157396,.000049
13,-.0096166,.0000536
15,-.012189,.0000516
16,-.0135669,.0000477
17,-.0016249,.0000686
18,-.0030252,.0000667
19,-.0066288,.0000577
20,-.0089619,.0000693
21,-.0004724,.0000654
22,-.0096896,.0000572
23,-.0057678,.0000706
24,-.0122318,.0000956
25,-.0105621,.0000657
26,-.0067158,.000058
27,-.0081675,.0000639
28,-.0040405,.0000463
29,-.0059488,.0000622
30,-.0103883,.0000591
31,-.0134569,.0000643
32,-.0045095,.0000494
33,-.0046125,.0000802
34,-.0128443,.0000576
35,-.0137957,.000056
36,-.0129333,.0000557
37,-.0064945,.0000528
38,.005526,.0000826
39,-.0037556,.0000615
40,-.0081172,.0000761
41,-.0124911,.0000643
42,-.0109731,.0000738
44,-.0076889,.0000541
45,-.0086055,.0000497
46,-.007603,.0000629
47,-.0010133,.0000717
48,-.0117914,.0000508
49,-.0125189,.0000595
50,.0005751,.0000912
51,-.0046823,.000097
53,-.014754,.0000668
54,-.0098172,.0000493
55,-.0112784,.0000719
56,-.008365,.0000691
